"|","|__i","|__lc","|__m","|__n","|__ri","|__rm","|__rn","|__sc","|__t","|__time"
"1530481131741","108303573162692599068","0","hi (sent from Kopar)","Sdd Hfx","","","","0","02 Jul 03:08 AM","1530481131741"
"1530482098285","114053299820890751499","0","hi. (sent from Kalyan Stn.)","shazi kazi","","","","0","02 Jul 03:24 AM","1530482098285"
"1530486615352","101651734243472314975","0","hi","Digvijay Salunkhe","","","","0","02 Jul 04:40 AM","1530486615352"
"1530486845276","114528589459809998478","1","hi anybody from kasara","Sunil Kendre","","","","0","02 Jul 04:44 AM","1530486845276"
"1530489001356","106324083053110511194","0","Hi, Kasara to CST train is running?","Sandip Wakchoure","","","","0","02 Jul 05:20 AM","1530489001356"
"1530489495962","107910351559953880967","0","mysore dadar tuning status (sent from Dadar Stn.)","Lokesh Kadam","","","","0","02 Jul 05:28 AM","1530489495962"
"1530490216214","110246438395013266065","1","yes","Vivekanand Jha","106324083053110511194","Hi, Kasara to CST train is running?","Sandip Wakchoure","1","02 Jul 05:40 AM","1530490216214"
"1530490335060","106324083053110511194","0","Thanks","Sandip Wakchoure","110246438395013266065","yes","Vivekanand Jha","0","02 Jul 05:42 AM","1530490335060"
"1530492320317","101992906466069519545","0","where is khopoli csmt fast (sent from Dombivli Stn.)","Shreyas Patwardhan","","","","0","02 Jul 06:15 AM","1530492320317"
"1530492384417","115270284704595169566","1","bandra terminus (sent from Bhayander)","Anjali Prajapati","","","","0","02 Jul 06:16 AM","1530492384417"
"1530493254692","105312598801707642948","0","6:55 bhadhlapur fast vikroli  (sent from Vikhroli Stn.)","ROHIT DEKHANE","","","","0","02 Jul 06:30 AM","1530493254692"
"1530493517152","105055236475602144795","0","hi.. is 6.50 train from thane to csmt from.platform 3, a regular one ? (sent from Thane Stn.)","Nihu prabhudesai","","","","0","02 Jul 06:35 AM","1530493517152"
"1530494448164","107322895723715240800","0","cstm manmad rajyrani expresses delayed ","Lakesh Pawar","","","","0","02 Jul 06:50 AM","1530494448164"
"1530495635274","111735761878728446036","0","status of 7:04 fast local for csmt? (sent from Kalva)","Jeetesh Rai","","","","0","02 Jul 07:10 AM","1530495635274"
